"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853082289921835124","Sun Nov 03 14:30:21 +0000 2024","0","wts - sharing sg 25 - pob appmus RED VELVET box + folded poster 50k DP 30k special polaroid 55k DP 30k AESPA member set : DP 50k giselle 170k ningning 150k box + folded poster 50k DP 30k mini brochure 35k DP 20k claim cek bio","1853082289921835124","","","in","","0","0","0","https://x.com/3NJE0/status/1853082289921835124","1799511937853915136","3NJE0"
"1853074598952337500","Sun Nov 03 14:30:19 +0000 2024","0","@raplikkkk @aespa_official Baru ngelike buset deh","1853082284322373973","","raplikkkk","in","Indonesia","0","0","0","https://x.com/andikaargaditya/status/1853082284322373973","1182724809290960896","andikaargaditya"
"1852871884670734838","Sun Nov 03 14:29:49 +0000 2024","1","@myyujimin11 @zuhakazuhaz tenang ajaa soal catwalk. winner udh duluan sblm ssera gue sebagai YGstan biasa ajaa ga bilang aespa plagiat","1853082154978431093","","myyujimin11","in","","0","0","0","https://x.com/exbbch/status/1853082154978431093","1298237305300246528","exbbch"
"1853082016310505524","Sun Nov 03 14:29:15 +0000 2024","0","seru bgt aespa-itzy-kiof-stayc","1853082016310505524","","","in","just like 825.","0","0","0","https://x.com/crackedelight/status/1853082016310505524","1302619016712708097","crackedelight"
"1853062663628321199","Sun Nov 03 14:29:11 +0000 2024","0","@ITZYofficial @aespa_official YEJI","1853081996966429129","","ITZYofficial","in","","0","0","0","https://x.com/lln1879756/status/1853081996966429129","1826082595911950336","lln1879756"
"1853079275416789484","Sun Nov 03 14:27:37 +0000 2024","0","@genenieveneth aespa cuma perkara catwalk doang padahal tapi lsf bener2 sekonsep2nya tbtb berubah wkwk kocak tuh","1853081601393217586","","genenieveneth","in","🎧▶︎ •၊၊||၊flowers","0","0","0","https://x.com/ningsley/status/1853081601393217586","1300980993382178817","ningsley"
"1853081439153390039","Sun Nov 03 14:26:58 +0000 2024","0","country life of genz gamau undang aespa lagi? terus undang wish/riize jg plis....","1853081439153390039","","","in","라이즈 브리즈 뜬다☆ be kind!⊹˚","0","0","0","https://x.com/aechansc/status/1853081439153390039","761643255968575488","aechansc"
"1853003537569169756","Sun Nov 03 14:26:42 +0000 2024","0","@kinankece playlist buat bangun mood kerja tiap pagi nihh - Jimin Who - aespa Whiplash ","1853081374447808935","","kinankece","in","Magic Shop","0","0","0","https://x.com/pebblues/status/1853081374447808935","911987202791424001","pebblues"
"1853081283116843130","Sun Nov 03 14:26:21 +0000 2024","1","gw kalo join aespa https://t.co/IV49mJBoNA","1853081283116843130","https://pbs.twimg.com/media/Gbd3myBboAEw4yL.jpg","","in","Lake Lenore No. 399, Saskatche","0","0","0","https://x.com/mortielse/status/1853081283116843130","1455770907729805326","mortielse"
"1853074598952337500","Sun Nov 03 14:26:12 +0000 2024","0","@aespa_official akur banget istri istri q","1853081246068588887","","aespa_official","in","karina's heart","0","0","0","https://x.com/katayinabyuu/status/1853081246068588887","1719964265413783552","katayinabyuu"
"1852943802245493054","Sun Nov 03 14:26:04 +0000 2024","0","@wiznty Kasar banget winter aespa ","1853081211905966465","","wiznty","in","애스파 — 00","0","1","0","https://x.com/uchinagua/status/1853081211905966465","2324512355","uchinagua"
"1853081160706109728","Sun Nov 03 14:25:51 +0000 2024","0","Mau mangkal base kenapa limit semua ","1853081160706109728","","","in","","0","0","0","https://x.com/not_aespa/status/1853081160706109728","2432259279","not_aespa"
